examine,id,members,lowalch,limit,value,highalch,icon,name
Fabulously ancient mage protection enchanted in the 3rd Age.,10344,true,20200,8,50500,30300,3rd age amulet.png,3rd age amulet
"A beautifully crafted axe, shaped by ancient smiths.",20011,true,22000,40,55000,33000,3rd age axe.png,3rd age axe
A beautifully crafted bow carved by ancient archers.,12424,true,60000,8,150000,90000,3rd age bow.png,3rd age bow
A beautiful cloak woven by ancient tailors.,12437,true,34000,8,85000,51000,3rd age cloak.png,3rd age cloak
A fabulously ancient vine cloak as worn by the druids of old.,23345,true,80000,8,200000,120000,3rd age druidic cloak.png,3rd age druidic cloak
A fabulously ancient woven robe as worn by the druids of old.,23339,true,80000,4,200000,120000,3rd age druidic robe bottoms.png,3rd age druidic robe bottoms
A fabulously ancient woven robe top as worn by the druids of old.,23336,true,80000,4,200000,120000,3rd age druidic robe top.png,3rd age druidic robe top
A fabulously ancient gnarled staff as used by the druids of old.,23342,true,80000,8,200000,120000,3rd age druidic staff.png,3rd age druidic staff
Fabulously ancient armour beaten from magical silver.,10350,true,36000,8,90000,54000,3rd age full helmet.png,3rd age full helmet
Fabulously ancient armour beaten from magical silver.,10352,true,72000,8,180000,108000,3rd age kiteshield.png,3rd age kiteshield
A beautifully crafted sword forged by ancient blacksmiths.,12426,true,60000,8,150000,90000,3rd age longsword.png,3rd age longsword
Fabulously ancient mage protection enchanted in the 3rd Age.,10342,true,20160,8,50400,30240,3rd age mage hat.png,3rd age mage hat
"A beautifully crafted pickaxe, shaped by ancient smiths.",20014,true,39180,40,97950,58770,3rd age pickaxe.png,3rd age pickaxe
Fabulously ancient armour beaten from magical silver.,10348,true,80000,8,200000,120000,3rd age platebody.png,3rd age platebody
Fabulously ancient armour beaten from magical silver.,10346,true,80000,8,200000,120000,3rd age platelegs.png,3rd age platelegs
Fabulously ancient armour beaten from magical silver.,23242,true,80000,8,200000,120000,3rd age plateskirt.png,3rd age plateskirt
Fabulously ancient range protection crafted from white dragonhide.,10334,true,20160,8,50400,30240,3rd age range coif.png,3rd age range coif
Fabulously ancient range protection crafted from white dragonhide.,10332,true,20240,8,50600,30360,3rd age range legs.png,3rd age range legs
Fabulously ancient range protection crafted from white dragonhide.,10330,true,20320,8,50800,30480,3rd age range top.png,3rd age range top
Fabulously ancient mage protection enchanted in the 3rd Age.,10340,true,20240,8,50600,30360,3rd age robe.png,3rd age robe
Fabulously ancient mage protection enchanted in the 3rd Age.,10338,true,20320,8,50800,30480,3rd age robe top.png,3rd age robe top
Fabulously ancient range protection crafted from white dragonhide.,10336,true,20200,8,50500,30300,3rd age vambraces.png,3rd age vambraces
A beautifully crafted wand infused by ancient wizards.,12422,true,60000,8,150000,90000,3rd age wand.png,3rd age wand
A big do about nothing.,10392,true,800,4,2000,1200,A powdered wig.png,A powdered wig
A heap of ashes.,25775,true,1,7500,1,1,Abyssal ashes.png,Abyssal ashes
Elements of deceased Abyssal Sires have been fused together.,13263,true,104000,8,260000,156000,Abyssal bludgeon.png,Abyssal bludgeon
Makes using the Abyss just slightly safer.,11095,true,1680,10000,4200,2520,Abyssal bracelet.png,Abyssal bracelet(5)
Something sharp from the body of a defeated Abyssal Sire.,13265,true,46000,8,115001,69000,Abyssal dagger.png,Abyssal dagger
Something sharp and poisonous from the body of a defeated Abyssal Sire.,13267,true,46000,8,115002,69001,Abyssal dagger (p).png,Abyssal dagger (p)
Something sharp and very poisonous from the body of a defeated Abyssal Sire.,13269,true,46001,8,115003,69001,Abyssal dagger (p+).png,Abyssal dagger (p+)
Something sharp and extremely poisonous from the body of a defeated Abyssal Sire.,13271,true,46001,8,115004,69002,Abyssal dagger (p++).png,Abyssal dagger (p++)
A weapon from the Abyss.,4151,true,48000,70,120001,72000,Abyssal whip.png,Abyssal whip
These logs are longer than normal.,2862,true,1,13000,4,2,Achey tree logs.png,Achey tree logs
Plant this in a plantpot of soil to grow a sapling.,5312,true,2,200,6,3,Acorn 5.png,Acorn
A two handed sword.,1317,false,2560,125,6400,3840,Adamant 2h sword.png,Adamant 2h sword
Arrows with adamant heads.,890,false,32,11000,80,48,Adamant arrow 5.png,Adamant arrow
Venomous-looking arrows.,891,true,32,11000,80,48,Adamant arrow(p) 5.png,Adamant arrow(p)
Venomous-looking arrows.,5620,true,32,11000,80,48,Adamant arrow(p+) 5.png,Adamant arrow(p+)
Venomous-looking arrows.,5626,true,32,11000,80,48,Adamant arrow(p++) 5.png,Adamant arrow(p++)
I can make some arrows with these.,43,true,16,10000,40,24,Adamant arrowtips.png,Adamant arrowtips
A powerful axe.,1357,false,512,40,1280,768,Adamant axe.png,Adamant axe
A vicious looking axe.,1371,false,1664,125,4160,2496,Adamant battleaxe.png,Adamant battleaxe
Adamantite crossbow bolts.,9143,true,23,11000,58,34,Adamant bolts 5.png,Adamant bolts
Some poisoned adamantite bolts.,9290,true,23,11000,58,34,Adamant bolts (p) 5.png,Adamant bolts (p)
Some poisoned adamantite bolts.,9297,true,23,11000,58,34,Adamant bolts (p+) 5.png,Adamant bolts (p+)
Super poisoned adamantite bolts.,9304,true,23,11000,58,34,Adamant bolts (p++) 5.png,Adamant bolts (p++)
Unfeathered adamantite crossbow bolts.,9380,true,1,13000,1,1,Adamant bolts(unf) 5.png,Adamant bolts(unf)
These will protect my feet.,4129,true,768,125,1920,1152,Adamant boots.png,Adamant boots
Blunt adamantite arrow... ouch.,4798,true,38,11000,95,57,Adamant brutal 5.png,Adamant brutal
A diamond topped cane.,12377,true,576,4,1440,864,Adamant cane.png,Adamant cane
A series of connected metal rings.,1111,false,1920,125,4800,2880,Adamant chainbody.png,Adamant chainbody
A set of fighting claws.,3100,true,480,125,1200,720,Adamant claws.png,Adamant claws
An adamantite crossbow.,9183,true,706,70,1767,1060,Adamant crossbow.png,Adamant crossbow
An unstrung adamantite crossbow.,9463,true,693,10000,1733,1039,Adamant crossbow (u).png,Adamant crossbow (u)
Short and deadly.,1211,false,320,125,800,480,Adamant dagger.png,Adamant dagger
A very dangerous poisoned dagger.,1227,true,320,125,800,480,Adamant dagger(p).png,Adamant dagger(p)
A very dangerous poisoned dagger.,5676,true,320,125,800,480,Adamant dagger(p+).png,Adamant dagger(p+)
A very dangerous poisoned dagger.,5694,true,320,125,800,480,Adamant dagger(p++).png,Adamant dagger(p++)
A deadly throwing dart with an adamant tip.,810,true,26,11000,65,39,Adamant dart.png,Adamant dart
A deadly-looking dart tip made of adamant - needs feathers for flight.,823,true,14,20000,36,21,Adamant dart tip.png,Adamant dart tip
A deadly poisoned dart with an adamant tip.,816,true,26,11000,65,39,Adamant dart(p).png,Adamant dart(p)
A deadly poisoned dart with an adamant tip.,5633,true,26,11000,65,39,Adamant dart(p+).png,Adamant dart(p+)
A deadly poisoned dart with an adamant tip.,5640,true,26,11000,65,39,Adamant dart(p++).png,Adamant dart(p++)
Do I look scary?,23270,true,4000,4,10000,6000,Adamant dragon mask.png,Adamant dragon mask
A full face helmet.,1161,false,1408,125,3520,2112,Adamant full helm.png,Adamant full helm
Adamant full helmet with gold trim.,2613,false,1408,8,3520,2112,Adamant full helm (g).png,Adamant full helm (g)
Adamant full helmet with trim.,2605,false,1408,8,3520,2112,Adamant full helm (t).png,Adamant full helm (t)
